userId,userType,historySize,history,timestampHistory,numberOfClicksHistory,timeOnPageHistory,scrollPercentageHistory,pageVisitsCountHistory,timestampHistory_new
0074d19887ad6edc329255a31931d145578d3a60bf64e0ef2e12d79a9d463963,Logged,19,"b218e4f2-8905-4dc8-8247-ad6dc520c5a3, ced7fe89-46e6-4bc2-b5c8-ecfcfd33c577, b2a21491-7576-4be0-a520-97ce9470efeb, 949a81ac-5df1-4e7b-9f4e-e364b5603e68, a6ab18ec-e32f-474b-964b-987309c61581, e77e093c-d944-4d4c-9143-e67c75c616c5, 4700f517-5c5d-483c-81b7-d77aca04991c, 5f2f1833-d203-486a-ac56-665fc3767018, 7f747187-72e4-4791-996b-4518742dc672, fdab1161-53cc-433f-8c1f-636130bbaba1, 0306487b-37be-4eda-bd8e-ad0a60886480, 7c076eda-5b41-4b0f-815f-0f6400148b0c, 59f32378-4348-4ed6-a269-8004371b9705, 5af99ef3-adff-464d-9976-5c5d6391b014, 4c63d7cd-4902-4ffb-9b94-578b1b2151f0, 50f85bf5-c153-4611-bf35-2f781ae4e234, 1045a19a-a686-47b8-aa54-33c1063613d6, b6ff34a6-65f6-43d4-a434-c72e009e32dd, c041f6d7-df78-40ee-8832-6772a0db14bb","1656708565453, 1656979894936, 1657034333315, 1657274110491, 1657291977611, 1657491419122, 1657491505759, 1657491590328, 1657574080397, 1657707640280, 1657880623489, 1657967276449, 1658424026317, 1658450488963, 1658450741440, 1658863797376, 1659735540912, 1660209329048, 1660382833087","18, 29, 11, 2, 33, 21, 24, 3, 21, 25, 16, 11, 0, 14, 13, 10, 30, 26, 71","50787, 106261, 33311, 16000, 90000, 74156, 79242, 6544, 83343, 124889, 63450, 40000, 10000, 52977, 25653, 52104, 112824, 120000, 215548","67.41, 44.18, 27.21, 22.35, 28.51, 58.74, 55.94, 32.97, 34.17, 60.1, 52.75, 42.25, 13.82, 39.59, 32.8, 40.35, 58.51, 41.67, 72.97","1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1656708565453, 1656979894936, 1657034333315, 1657274110491, 1657291977611, 1657491419122, 1657491505759, 1657491590328, 1657574080397, 1657707640280, 1657880623489, 1657967276449, 1658424026317, 1658450488963, 1658450741440, 1658863797376, 1659735540912, 1660209329048, 1660382833087"
42aa5a0e8e2c543ecefbf1dd426778b7fdb0ba1178720321e1bc606c7ae8752e,Logged,12,"47874b53-ac2e-4ccc-ad5b-6b2669d59340, dcbcfc8d-6010-41df-a39d-008b0c7bc85d, 121c73e6-2d01-4c34-b18b-389fb438c2a6, 8c559e6d-148d-49f9-98f0-d28528532f18, f6968f5b-226b-4f93-92f5-7a9ac83b4566, abf55e21-517a-4e1b-a29b-a16166f6af51, fc8f3fa3-c097-4a9a-9895-8ef9f3ab0cce, cbc832d6-af68-41bf-91d4-8740d71c5952, 8d477e04-3bab-4ad9-8fe3-799059238a9c, 54cb252a-78b5-463d-b31f-f54f63d85a29, 0ed208f9-de0c-4eb8-b388-fae371891670, 94badd5a-77f3-4852-957b-9b7e430c2208","1656960712841, 1657043705951, 1657568337599, 1657568387993, 1657671174727, 1657672081287, 1657929682038, 1658340759298, 1658340976992, 1658702601131, 1659053544317, 1659197267453","1, 2, 0, 0, 4, 0, 0, 1, 0, 15, 0, 0","55096, 117581, 10000, 200000, 470000, 59968, 20902, 63693, 24381, 60000, 65219, 61829","40.17, 25.36, 5.46, 66.55, 70.18, 47.14, 12.21, 71.24, 44.98, 27.74, 54.5, 55.57","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1656960712841, 1657043705951, 1657568337599, 1657568387993, 1657671174727, 1657672081287, 1657929682038, 1658340759298, 1658340976992, 1658702601131, 1659053544317, 1659197267453"
ed174c1fe961ede15d7a4ac9c29d7ebc4f818bdfd40cdf93ef1d62b21d28ac55,Non-Logged,9,"5dff8fb2-73e6-4c22-a34f-c367aa2677df, d98f8aa5-05f6-491c-bc55-ce43d870e14b, 01514b11-4f32-49f8-abd3-00a8f753a0b0, c67ba7c9-f2b9-4815-9069-0339a28d8913, e63ef205-d49a-4cd6-ac85-059535e3d68c, 882e7c95-935a-4eab-9ece-f85f5f7d0f4e, d262c24d-1d6a-4c9a-97db-a721bd27f9db, 564f0976-781b-44e7-96c8-7377097d0101, 0819b74d-b28a-4702-90a2-9d205dd9fc5e","1657630757668, 1657642554973, 1658414611036, 1659030836610, 1659380093666, 1659380229566, 1659444064459, 1659546570777, 1659727892853","2, 0, 1, 0, 1, 0, 0, 1, 0","250000, 202889, 75011, 137694, 126447, 111682, 78087, 36454, 84475","84.78, 83.11, 66.32, 51.84, 75.19, 69.73, 58.79, 58.0, 68.02","1, 1, 1, 2, 1, 1, 1, 1, 1","1657630757668, 1657642554973, 1658414611036, 1659030836610, 1659380093666, 1659380229566, 1659444064459, 1659546570777, 1659727892853"
aba7ab85ee00c4fbaf7551db8ab0d60a170dde9bb8902f0875fad75da47469d9,Non-Logged,9,"8174dee0-923d-4e87-b742-1e026726cd93, 489ef55e-a452-404d-b62f-38950ee3b206, aa180263-187b-4ef7-96b2-3101077b4f8d, 1398e45d-3158-4e6e-b2aa-5c0179c3ebcf, ac1e6c6a-9403-45b1-902e-60f4b6914854, cbc832d6-af68-41bf-91d4-8740d71c5952, 0819b74d-b28a-4702-90a2-9d205dd9fc5e, 5b90df37-0b8b-44d6-abdb-6fad31217c26, 8ce81c16-71ad-4eb4-88dc-d6a85c49dbff","1657648483200, 1657648492153, 1657648501645, 1657648531082, 1657648558914, 1659465599773, 1659467565019, 1659549607499, 1660249221570","0, 0, 0, 0, 0, 0, 0, 0, 0","84596, 220000, 210000, 92056, 209167, 200000, 30000, 38260, 50000","63.18, 90.01, 89.47, 86.33, 88.05, 60.61, 22.82, 23.94, 66.67","1, 1, 1, 1, 1, 1, 2, 1, 1","1657648483200, 1657648492153, 1657648501645, 1657648531082, 1657648558914, 1659465599773, 1659467565019, 1659549607499, 1660249221570"
a5bec8290f2616372a980f56600b0ae40807b848061041bac71b5d06e8bb0520,Non-Logged,23,"a3a99177-cbc0-4ae6-adb2-c6e9da32ecec, 4bb1aeea-c3fc-427b-99d4-4d8bfb3eecc0, f8c57b00-b96a-403c-baaa-ca9c6bf4654a, 6ba3c92b-f015-4313-9e64-8036c3f825c1, 8fe8690b-0b21-4d2b-94e2-ca5d3df98bdb, d57c6aa2-8ebe-4df9-831f-7f5737f6e32c, 5ac9a675-eb36-4d7f-b98f-aed18446f73d, c204edf7-5800-49c1-a191-eb29c5b6274c, 0e5061c7-8c2a-4b56-bedf-ad91674fe833, 45868416-9128-44aa-a5e0-7b3e1316b747, 021f13d5-bc23-4314-9cfe-3672c8b1df7a, 77e50910-5769-4eb4-bba6-233f7cd15c22, 8fe97957-f4b0-42a9-8cf2-a035bbb6c725, d486a441-1735-4c44-8119-f922a9ffa257, 7482f948-9716-46da-9a13-d1141c5c91d0, 9206c90f-6077-46bc-967e-e6687e071476, fac60604-0c94-4ffb-b3ee-7032ab4be3aa, 6b405063-715c-459f-ae80-13089b91c8bb, 961ce9a4-d9c6-45a3-931f-6b539d17435c, 49c429cc-24bf-4c90-8c9f-3ab299021f2a, ad21c386-6fd0-4b07-b40d-10615caa2547, b58c0782-346d-4a9e-bf05-01abdec6b0fe, a9bb859b-5ffe-4eea-b5c8-b7198c9cd6bb","1657029683483, 1657029740661, 1657897585844, 1657897591102, 1657897915979, 1658405680713, 1659440576675, 1659440650495, 1659440714822, 1659440735733, 1659440781209, 1659528657052, 1659528658287, 1659528700889, 1659528758193, 1659528908772, 1659964438930, 1659970482719, 1659970490290, 1659970503701, 1659970565562, 1660140878623, 1660140880731","1, 0, 6, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0","43440, 30666, 220000, 21963, 34714, 50327, 13735, 105410, 90000, 35335, 20648, 6444, 35654, 9108, 23658, 20000, 68513, 6224, 102327, 25361, 90000, 8624, 29863","42.25, 45.47, 75.8, 53.0, 50.3, 41.32, 40.88, 41.1, 27.13, 44.35, 36.72, 26.14, 40.86, 40.59, 53.53, 49.48, 37.01, 17.81, 47.93, 47.85, 39.43, 21.47, 41.1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1","1657029683483, 1657029740661, 1657897585844, 1657897591102, 1657897915979, 1658405680713, 1659440576675, 1659440650495, 1659440714822, 1659440735733, 1659440781209, 1659528657052, 1659528658287, 1659528700889, 1659528758193, 1659528908772, 1659964438930, 1659970482719, 1659970490290, 1659970503701, 1659970565562, 1660140878623, 1660140880731"
d08e90cd2ce396f830fa900abd27b3008789ed3e8767df8d7e29a03e008e0ab9,Non-Logged,7,"8b4a6ec4-ed4e-4c80-9fa6-0311143a4606, aa74eb36-b519-4658-9359-5efc2e043fef, 9bc24b5b-1f73-42d7-93ca-d998c9b0f722, da193506-d965-4348-a4cc-ce62921cd602, dbc79e04-beea-4406-aac6-d2e46dec4279, 763cf2ee-d8b2-415a-9317-85cf541029ef, 8f91f757-8020-4d2b-b8df-a6b10963b5ba","1658491948536, 1658492166802, 1658492270683, 1658492331270, 1658492436180, 1658492513235, 1658493914774","4, 2, 3, 1, 1, 4, 9","78764, 40000, 41177, 30000, 30000, 50000, 40000","8.87, 7.49, 14.1, 11.79, 10.86, 10.72, 13.1","2, 2, 2, 1, 1, 2, 1","1658491948536, 1658492166802, 1658492270683, 1658492331270, 1658492436180, 1658492513235, 1658493914774"
86e9ccf8aed704dcc18425e18adfb2d50613aa3946231dd73a319542c0bd4d09,Non-Logged,2,"e49376c0-fb98-4458-9cc3-0c18e4b6a0ca, d2593c3d-2347-40d9-948c-b6065e8459a9","1657569406342, 1658143000048","0, 11","16351, 121010","37.79, 35.77","1, 3","1657569406342, 1658143000048"
73fb2a9cf680d1465c7790508922df180f25dfbbf613c17b17cbd446a0695d9a,Logged,12,"a2555e62-df84-4730-80a2-fa4684ba3a29, 3cf8743e-fe1a-4ecb-bf35-288e6dce5ecd, 9edfbf80-3456-4b34-860a-4654aaec99af, 5af379e6-1bd1-4cf8-a23c-03266fb77b2c, 77dff2e3-1436-4612-95bf-ad95275993ca, 939e5666-9049-4aec-8e93-f8f620abe00e, 8864af44-c4a2-4862-82de-be58579ac4f3, 19446b17-33cc-4df2-aaf0-f59205e188ea, 89fa73f0-4341-4de4-bb2a-e429ef96bd43, a3ba381f-c34b-4aaf-8f92-4c7d86748ee3, 07b5ae90-4161-4463-945e-41a48fdced21, 95099802-c3ac-4baf-9cdb-f55cf630ea1e","1656861330959, 1656861705579, 1656962869536, 1657564681333, 1657876008238, 1657905598743, 1657905719753, 1658398407045, 1658398478064, 1658682643639, 1658830075733, 1659117034280","1, 0, 0, 0, 10, 18, 9, 8, 21, 3, 28, 3","180000, 80000, 50000, 10000, 50000, 102472, 30000, 24630, 110000, 42324, 100000, 10520","76.56, 52.35, 25.16, 18.3, 30.91, 32.66, 30.39, 27.35, 61.1, 30.14, 52.34, 30.07","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1656861330959, 1656861705579, 1656962869536, 1657564681333, 1657876008238, 1657905598743, 1657905719753, 1658398407045, 1658398478064, 1658682643639, 1658830075733, 1659117034280"
2660c97347cfbb30d0b76c1d0431654284f273f67bf705e9cee773eda2f9bb79,Non-Logged,4,"d2593c3d-2347-40d9-948c-b6065e8459a9, 0819b74d-b28a-4702-90a2-9d205dd9fc5e, 0b5caeed-ff6f-4b9d-8375-9ad25827a4ae, ad94fc7e-cfba-4b98-aff7-5f6135d31465","1657637875629, 1657638238726, 1657638418903, 1657638573831","51, 20, 59, 24","160000, 163401, 123154, 60000","64.17, 51.12, 44.41, 28.03","1, 1, 2, 2","1657637875629, 1657638238726, 1657638418903, 1657638573831"
6da1bc3cc7e3ed1118bc2f08de8e329cb49a1e7e3a3a0f23bd7d88b910eacb11,Non-Logged,50,"9d52c427-27ec-4f9e-a0b7-71f3332047f0, 76c90784-4c04-4e12-ae45-f37a2a7b2ae8, b819e235-fdba-407b-b681-42185e39604c, 8756d606-01c0-4d87-beeb-d6485d4a7a3f, 063779f4-3c7b-4084-8964-b36fe44f85da, 26e67d84-8007-4762-a37b-7c1b1bb4cb93, c9ba1cec-19c4-4efd-b5b4-0dca5a291eab, f9a98d1d-44e6-463d-916f-a747eb6eebb6, 9168e776-1472-4f84-9b84-97237172d219, 5fd497c2-e389-4a37-8127-4cb7783c0a53, 36bfbd22-cd61-47a4-bcf1-cd0c359d1cae, 5bd5cbd7-4275-4b20-8532-bc9079705d14, 3e45a6d8-9107-4f84-a761-36f36aa214a0, 95823800-ceac-423b-b0d8-73a7f24c4c5e, a319b2aa-8b00-4339-8696-241cf87bcf7c, 8c56e930-6947-475c-ac60-b8c7c445dee8, 00e1d9e7-e002-4dd8-8a59-5baffec77611, 7a01fdb1-c5c0-4833-a252-8593f91eed3d, 50940920-3240-4599-8dbd-a8725c24c35c, 162c03b6-d92d-45fb-ba1d-1675d31bf3c9, edb11579-aa43-4e89-aa9e-04cc1a7a5a2d, eb0728b4-218a-450b-91d5-6bdf52e8dd4c, b0803304-62b4-4428-a333-e9bf623c8a98, a1673763-4b04-4b1f-b0ea-828d891fe351, 22b13dcf-6815-4a4c-900d-55343e478f47, 1cf964fa-5fdf-4ef5-9448-9ca037656777, 8fc65888-b50f-4fa8-90bf-51581a72a3aa, 9d47ea8a-78cf-4553-9a4f-8c29a9bdcd52, a6f4e6af-eb51-4f48-a743-69bd82badc4c, 7585c300-b8bc-4631-8858-e5ebf662941c, e940e2c7-9d4a-441a-a2ba-071e061e7b66, c6805e7b-9efe-4c38-8f89-9974361263f2, b3e69ef9-88ff-453b-8efe-0f9d8614b605, 106e6c31-5aa8-4d21-8d76-2fd90d35dba1, 50f85bf5-c153-4611-bf35-2f781ae4e234, 56307474-6fc5-40a3-8474-da0487bdd37a, 878b0a95-c486-499a-886c-91ede1f0c00c, b74672f7-6f8b-44e2-81f0-a1b3368b3715, 5a8987ba-2510-46c0-8f38-0cedafa60e8f, 9f619df1-234b-4854-9c7a-7920f46e2673, 91670498-1089-47ca-9341-708da6e23b3f, c968cf6a-daf9-422d-9707-fbe9797af6e7, 3f83ffbf-cd84-4463-a8a7-1dfe22804aac, 9e11cb36-8b81-40ad-9202-2ca1cc7a9ffd, 07b5ae90-4161-4463-945e-41a48fdced21, 8868cca0-4007-4521-83b3-59370dbad042, ef2422c9-3211-4b27-b3a8-d9fc86f8ec44, 9596c250-38c3-48d0-9aaf-9b8f9943ca7d, 05518fae-ab70-4d71-9aa2-23dc1e02a413, 05c8b414-e6ba-497b-91cb-eda741e5d6e5","1656692519086, 1656790144634, 1656857577640, 1656873197191, 1656873429548, 1656873616839, 1656947087114, 1656947269563, 1656973334595, 1657036596774, 1657058349734, 1657134273498, 1657213007425, 1657213094338, 1657271600622, 1657271733500, 1657272164486, 1657382058758, 1657411010187, 1657484031830, 1657484241183, 1657577300235, 1657748869262, 1657749638334, 1657809117576, 1657980096969, 1658003981999, 1658004084298, 1658004270365, 1658011722318, 1658096258184, 1658156062184, 1658156287833, 1658262965595, 1658350965857, 1658351100176, 1658686099153, 1658756922637, 1659127059503, 1659195718746, 1659280896407, 1659539589787, 1659817044747, 1659817460505, 1659871685450, 1659871814841, 1660037045970, 1660250699070, 1660408587815, 1660429838678","35, 23, 33, 35, 29, 26, 43, 25, 24, 37, 11, 3, 11, 12, 15, 77, 7, 12, 25, 37, 21, 30, 66, 42, 5, 11, 17, 19, 19, 73, 42, 54, 28, 23, 20, 50, 6, 26, 47, 3, 11, 16, 43, 21, 10, 69, 12, 16, 200, 2","170000, 162079, 199557, 189644, 175187, 142431, 98104, 110000, 110000, 180000, 40000, 10592, 57095, 54540, 80000, 417361, 15662, 69645, 101487, 175730, 100325, 90000, 380000, 180000, 71412, 40000, 89029, 90000, 51846, 215876, 190000, 140000, 112078, 100793, 98699, 274118, 74729, 124228, 240000, 15043, 96693, 99330, 338649, 80000, 59731, 190080, 62245, 145537, 680411, 12465","42.72, 39.23, 38.83, 43.02, 40.75, 62.09, 23.98, 48.61, 42.45, 49.83, 31.61, 27.24, 44.08, 42.58, 41.62, 72.6, 15.84, 37.62, 38.18, 27.58, 49.72, 42.99, 50.24, 65.64, 35.8, 41.98, 37.04, 46.4, 35.17, 52.32, 45.76, 55.26, 56.48, 39.98, 38.39, 55.65, 45.36, 42.5, 48.46, 37.05, 42.49, 40.51, 43.01, 37.53, 40.08, 57.99, 43.66, 42.13, 56.7, 23.2","1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1","1656692519086, 1656790144634, 1656857577640, 1656873197191, 1656873429548, 1656873616839, 1656947087114, 1656947269563, 1656973334595, 1657036596774, 1657058349734, 1657134273498, 1657213007425, 1657213094338, 1657271600622, 1657271733500, 1657272164486, 1657382058758, 1657411010187, 1657484031830, 1657484241183, 1657577300235, 1657748869262, 1657749638334, 1657809117576, 1657980096969, 1658003981999, 1658004084298, 1658004270365, 1658011722318, 1658096258184, 1658156062184, 1658156287833, 1658262965595, 1658350965857, 1658351100176, 1658686099153, 1658756922637, 1659127059503, 1659195718746, 1659280896407, 1659539589787, 1659817044747, 1659817460505, 1659871685450, 1659871814841, 1660037045970, 1660250699070, 1660408587815, 1660429838678"
