userId,userType,historySize,history,timestampHistory,numberOfClicksHistory,timeOnPageHistory,scrollPercentageHistory,pageVisitsCountHistory,timestampHistory_new
056caf3a75f1e5a5d35d4920d7f978b6bba627cb2b2142f8178007c301a568cd,Non-Logged,2,"87b2f15f-0ea3-48ec-b58b-fefa6d92be6c, b983ec13-6581-4a89-a800-ab2bffc1fcbe","1656963698274, 1659476178497","2, 0","80000, 40826","34.53, 78.26","1, 1","1656963698274, 1659476178497"
2e3e9b50a55bbc17a1f1c340d591dd593d787fab240a28dd151551ba180ee4f7,Non-Logged,2,"e40fe700-cb23-42e6-b8ec-cb474ff95465, 491dce59-4497-44f6-a95b-cce865e36c13","1659532285927, 1659726765551","1, 1","10000, 61471","18.34, 26.27","1, 1","1659532285927, 1659726765551"
d793d9fdcb7e603a89869cf6173fb555754dedbdfdafd4583f9da93e7f9029b3,Non-Logged,2,"ae11ce6a-0185-4a64-b1a2-f9cfb84e6f0c, 5af379e6-1bd1-4cf8-a23c-03266fb77b2c","1658405613684, 1660247693708","1, 0","150000, 60000","67.09, 57.1","1, 1","1658405613684, 1660247693708"
60083c303195526d0eb6b07adb8e27855594c406e1277b4de840a4656a2bb79f,Non-Logged,2,"fa1807e2-a747-4d4b-be84-f946c72e2d16, dbcfe437-0cec-4b0f-9dbc-d719a1a8a4e1","1657115246836, 1657116538387","0, 1","380000, 48865","65.32, 42.01","1, 1","1657115246836, 1657116538387"
bb84ec2c3ea0dd2e96f8d5fa2e306f6d99979127b8c3e59e33d199425d3960fe,Logged,2,"18e4f0ca-4942-48a9-9a5d-2038bcd26bca, aecefcfe-15f2-4d3d-883f-3d16aca6bf58","1657147571039, 1657306496334","19, 32","20000, 50918","16.06, 34.43","1, 1","1657147571039, 1657306496334"
6fb8536fb7bfdceb72cfbcc8843e0bd44d3869fbc1c99231cf0d3cb440be3d47,Non-Logged,2,"1be51230-8970-47c5-8278-6177dcfcffee, abf635e5-22aa-4c1b-b3cd-39f42596fb5a","1658278586279, 1658279480173","3, 0","47890, 36666","38.87, 68.28","1, 1","1658278586279, 1658279480173"
0bdeea68fc397731ba901c2a76c59ff11d262a60fc30f60e407414533e7b060b,Non-Logged,2,"bc34fb7d-0d6c-45aa-b279-7fc9f4296f11, e67a8a04-2e7d-45a3-8374-73380b09a47b","1658155331435, 1660254796131","1, 0","69346, 23128","50.48, 47.32","1, 1","1658155331435, 1660254796131"
4854eb39eece4753ed18d20bc04e63509effc8dac2279066400e37df7165ec62,Non-Logged,2,"0ddcc89b-0bd7-4572-b4a2-1678392ce7ec, db163faf-31ef-4ae1-8330-5a74556cd7c9","1658254973845, 1658255140148","0, 1","159564, 280000","81.69, 80.76","1, 1","1658254973845, 1658255140148"
11e745bb723ef06703a58a2970fe8cb0b123ad02620be4c6a70f1d3013c7f850,Non-Logged,2,"0906fe9c-99b4-4fbf-b879-47674953717b, fba02831-03d1-48f9-b9e5-4682f697004f","1659580023163, 1659792210047","8, 9","22872, 50000","48.63, 32.19","1, 1","1659580023163, 1659792210047"
efb323527ce1d80b4596ab6f7976335d4afc71dd9ba988e2e2ac30ca69e2123c,Non-Logged,2,"d1a2bfec-966c-4fe1-8648-ce0b0316fd25, e88bb483-c29c-4a17-b9b1-85c0fd0c4b50","1660070554989, 1660070582097","1, 1","20524, 110128","75.77, 80.85","1, 1","1660070554989, 1660070582097"
1f6e0d7d6fb93bc043a6a7a01aaadcf07c0ab3c2b0edeee00877857c29ac9ec0,Non-Logged,2,"691f4668-9f91-4bad-b5c9-6632deb4e147, c69ba6df-7975-4de9-8edc-25f881749881","1657663849049, 1657664019661","0, 5","10000, 10009","9.27, 25.67","1, 1","1657663849049, 1657664019661"
af46c638080131510823b2ea5ad8dab396e29f3a887b46e9b8facabf47449935,Non-Logged,2,"96b3423e-f82a-43d7-afa5-760e75801ae3, f17cf42e-4b2a-46e4-9549-216018eb325a","1656688224867, 1659435462342","0, 0","22424, 7863","24.74, 40.16","1, 1","1656688224867, 1659435462342"
a69e692c91971d523cad4903136b9be6697f14341716954d497be5f55df6b3cc,Non-Logged,2,"e06765a8-fc9e-4150-97cd-00fac0c4f192, 54cbcdc2-5756-48f8-a782-08fb71f584b7","1657218182419, 1657626709185","0, 0","60000, 10000","25.85, 12.84","1, 1","1657218182419, 1657626709185"
7d5f818b1eb39c48e1426594797363ca337009f10ab1986a3885b2d21362659e,Non-Logged,2,"75f9f2a3-2dcf-486d-9cdc-a3f554ce4187, d3781ea3-f66d-45e8-9483-e02f00997acc","1658645237415, 1660096359167","0, 0","21382, 133457","18.08, 61.65","1, 1","1658645237415, 1660096359167"
c698c90f6ef49df1dbc1ac9a411e0da449ea602645d0ebff8773722334997700,Non-Logged,2,"d6b54ef7-447c-4821-b6a6-d940849f85f0, e74a7279-d208-4993-9311-9580998ea18a","1660233061505, 1660307959000","18, 4","50000, 10000","28.05, 34.38","1, 1","1660233061505, 1660307959000"
1d602c3f0ed23b8de0a2ede5af52258caf4a11951031eb0cfdfd3828da4237b4,Non-Logged,2,"7dd488dc-1c9b-431d-bf68-9f93b78b0415, 82ba2d37-b4b8-4b48-896b-8871e25e720c","1656704249768, 1659244135910","0, 0","10000, 55410","12.87, 37.76","1, 1","1656704249768, 1659244135910"
4439db6a68433fd9b80728be6671c25bb07bf724c0433a49373da8187bd75c39,Non-Logged,2,"a41df53b-ae7e-423e-b961-1ff5f5eafbe3, 6f91cbf4-ede9-44e6-a2cb-14b18fc993e3","1658521780931, 1658781578549","2, 3","50000, 25074","45.29, 76.58","1, 1","1658521780931, 1658781578549"
cfe8d54517c0d780cab7453f43d1422b6fab5eb81035b05bf9f7baa84505d1e9,Non-Logged,2,"d0ad42fe-3c3e-47f9-8237-210c20fac65c, a6101fc9-16a5-497c-bbf1-640e324163c2","1656853231951, 1656853232908","1, 0","30000, 10000","43.35, 8.54","1, 1","1656853231951, 1656853232908"
90f154ad025270e44e14eadca9b9f0305213d8d6ec0687519cdcde5d9c86056b,Non-Logged,2,"ba630bc0-da46-42ff-8b1c-64617825616f, 1a3641be-fa6a-4d72-a5eb-9069686a88ee","1656868670816, 1658605116558","2, 0","20000, 10000","18.01, 8.87","1, 1","1656868670816, 1658605116558"
8bcad4adf7eb1a7753c2409116b94944c6ef77814ebdd7b622e51a0c4d7e0bb3,Non-Logged,2,"80966c4b-8fe7-45e1-b540-2f46a146670e, 9442c690-21b3-42bc-9e5a-f880de0fa0a8","1660318970316, 1660320943560","0, 0","44560, 67675","42.23, 24.02","1, 1","1660318970316, 1660320943560"
a1553ea399c7d96da4b9ffd20cd6bb674119b936cd627799853d8890e4b8bfc1,Non-Logged,2,"5f30a257-8f98-4742-bd35-f807776df274, 205c97e0-0c2d-42c1-bbea-9b46c9ac9eec","1657917715130, 1657918108177","0, 0","130000, 150000","61.16, 44.12","1, 1","1657917715130, 1657918108177"
46bb798bf4eeaad4cf866ac4d849b8ee9f3d9941a1cc87c398087ce194b1cf62,Non-Logged,2,"529a23e0-baa8-4824-9554-416ceba464ae, 9dcafac3-40f2-4817-b080-8fcd21ef1244","1657901690169, 1657902032094","64, 8","332481, 40000","77.62, 15.89","1, 1","1657901690169, 1657902032094"
e5822d14339b4c576514dccdef57c1b639331ca5053aabc8225ccba65035bcb3,Non-Logged,2,"ad543dfb-2ddd-4878-9f6a-83fbefbdd826, 9475e585-876a-4efa-861c-cb1fe423018f","1657124355577, 1657124432340","6, 10","12734, 12675","70.34, 24.59","1, 1","1657124355577, 1657124432340"
81ac6a1b45fc82d20aae7033b79955378ff701f6abff2b3257437f23a28a3dfb,Non-Logged,2,"064e7cfb-32c4-4785-ac91-f26fa05e4237, 4211c454-99e5-4447-87a4-f0652dd20557","1659124929811, 1659125106953","34, 0","169695, 10000","76.43, 26.19","1, 1","1659124929811, 1659125106953"
55f469e7d0dc5697774eb79ddcdc84c1e9727067dd8189d4d82b7c3f0f4a560f,Non-Logged,2,"f0d580df-3a82-4247-ac93-487cb15889e6, 8d678c96-ebb2-4afe-9f4c-60924bc79a0c","1658782950896, 1659831451105","11, 38","24303, 46555","25.03, 31.47","1, 1","1658782950896, 1659831451105"
f9336561bf1e69776246200d1adba1fbb534089a868346b8f65a8c5505488639,Logged,2,"1be4ca1f-d19f-4432-bbbf-d67e5da487b7, 12fd615d-66fe-4456-954d-f3e7c897b136","1659023546645, 1659400264623","1, 0","32874, 70000","51.14, 65.03","1, 1","1659023546645, 1659400264623"
69a0ecb617935ee8e8e77bb80db39209c51a6c9da7e2b7650272fd6cc20af6f8,Non-Logged,2,"5794643a-f838-471b-9fc2-196f4ff930bb, 91266575-23d3-4ce6-91b1-5d0ad7c3936d","1657546611457, 1660481176265","1, 1","113536, 40073","26.09, 41.89","1, 1","1657546611457, 1660481176265"
0a1689e85c4c3d5660670a70a922199f37c14c4813e21d3fd4b0afcbe0acfaae,Non-Logged,2,"88ee4ac3-0ccc-4f63-99b0-b235905bdb72, 39ce5479-1968-4baf-8e41-963b51d53107","1657477490741, 1660170876284","30, 3","100000, 10000","36.05, 15.02","1, 1","1657477490741, 1660170876284"
